company,token,platform,status,last_checked,notes
Anthropic,anthropic,greenhouse,verified,2026-07-24T04:36:45,Auto-discovered
Airtable,airtable,greenhouse,verified,2026-07-24T04:36:45,Auto-discovered
Mercury,mercury,greenhouse,verified,2026-07-24T03:10:17,Auto-discovered
OpenAI,openai,greenhouse,unverified,2026-07-24T03:10:17,"Guess, unconfirmed; Not found on greenhouse"
Databricks,databricks,greenhouse,verified,2026-07-24T03:10:17,Auto-discovered
Notion,notion,ashby,verified,2026-07-24T04:36:45,Auto-discovered
Ramp,ramp,ashby,verified,2026-07-24T04:36:45,Auto-discovered
Scale AI,scaleai,greenhouse,verified,2026-07-24T01:51:16,Auto-discovered
Perplexity,perplexityai,greenhouse,unverified,2026-07-24T01:52:15,"Guess, unconfirmed; Not found on greenhouse"
Webflow,webflow,greenhouse,verified,2026-07-24T01:52:15,Auto-discovered
Vercel,vercel,greenhouse,verified,2026-07-24T01:52:15,Auto-discovered
Linear,linear,ashby,verified,2026-07-24T04:36:45,Auto-discovered
Retool,retool,ashby,unverified,2026-07-24T04:36:45,"Guess, unconfirmed; Not found on ashby"
Replit,replit,ashby,verified,2026-07-24T04:36:45,Auto-discovered
Watershed,watershed,ashby,verified,2026-07-24T04:36:45,Auto-discovered
Runway,runway,ashby,verified,2026-07-24T04:36:45,Auto-discovered
Figma,figma,greenhouse,verified,2026-07-24T01:52:15,Auto-discovered
Cursor,anysphere,unknown,unverified,2026-07-24T04:36:45,"Company is Anysphere — token may be wrong, verify at their careers page; Not found on ashby; Not found on greenhouse"
Brex,brex,greenhouse,verified,2026-07-24T01:52:15,Auto-discovered
Reddit,reddit,greenhouse,verified,2026-07-24T01:52:15,Auto-discovered
Shopify,shopify,unknown,unverified,2026-07-24T04:36:45,"May use a custom careers site, not Greenhouse/Ashby; Not found on ashby"
Plaid,plaid,greenhouse,unverified,,"Guess, unconfirmed"
Supabase,supabase,ashby,verified,2026-07-24T04:36:45,Auto-discovered
PostHog,posthog,ashby,verified,2026-07-24T04:36:45,Auto-discovered
Cohere,cohere,ashby,verified,2026-07-24T04:36:45,Auto-discovered
